('Room_1', 1.7400623891891234, 3.1049268572055246)
('Room_2', 6.3457880041267165, 1.1925841197126443)
('Room_3', 10.124776840342628, 1.4900676241385973)
('Room_4', 8.879981601471881, 3.0060067194624427)
('Room_5', 5.840969333011719, 4.736525447694778)
('Room_6', 10.036211340206187, 3.35073883161512)
('Room_7', 9.634846359933295, 5.594605374668525)
('Room_8', 1.74, 6.65)
('Door_1', 3.24, 1.32)
('Door_2', 8.885, 2.139878048780488)
('Door_3', 5.835, 2.24)
('Door_4', 8.885, 3.95)
('Door_5', 3.34, 6.59)
('Table_1', 5.02, 1.17)
('Table_2', 0.93, 4.38)
('Table_3', 2.12, 1.85)
('Table_4', 3.83, 6.14)
('Table_5', 7.0, 1.26)
