('Room_1', 27.11839095349766, 2.0458585677566026)
('Room_2', 26.94301142418112, 11.916363865380754)
('Room_3', 3.8563431387971265, 5.4908223873944735)
('Room_4', 3.8724624910036947, 9.580892089105603)
('Room_5', 3.8541939123958984, 15.967850856878185)
('Room_6', 15.329756839367416, 17.780301691568738)
('Room_7', 7.515, 17.79)
('Room_8', 23.14, 17.819714772903424)
('Table_1', 27.94, 7.06)
('Table_2', 25.82, 12.74)
('Table_3', 3.8, 5.37)
('Table_4', 27.25, 9.61)
('Table_5', 29.09, 16.6)
('Table_6', 2.65, 17.58)
('Table_7', 25.08, 5.42)
