('Room_1', 2.985832255211445, 2.74870747691251)
('Room_2', 8.604484031542855, 2.77334067098773)
('Room_3', 2.986390636656673, 7.845231291846721)
('Room_4', 8.633108325048115, 7.876440898269681)
('Room_5', 2.998344259491506, 13.28386810430477)
('Room_6', 8.659994842475612, 13.298699744122821)
('Table_1', 7.34, 12.18)
('Table_2', 8.6, 1.97)
('Table_3', 4.41, 14.92)
('Table_4', 9.62, 11.6)
('Table_5', 4.68, 7.53)
('Table_6', 1.58, 7.25)
('Table_7', 2.05, 14.05)
('Table_8', 3.33, 1.95)
('Table_9', 2.3, 1.88)
