('Room_1', 3.1707196417944283, 2.3132873296114713)
('Room_2', 7.82533533698382, 2.7583195685289637)
('Room_3', 11.922113263243308, 2.749726145258431)
('Room_4', 2.2907813357731017, 5.735807067703568)
('Room_5', 11.92655093685479, 7.848103106876846)
('Room_6', 7.83212590065422, 7.871477009974864)
('Door_1', 10.33, 2.93)
('Door_2', 5.23, 3.06)
('Door_3', 10.3676, 5.2636)
('Door_4', 8.197481481481482, 5.274962962962963)
('Door_5', 4.665, 5.41)
('Door_6', 10.43, 9.84)
('Table_1', 3.71, 2.68)
('Table_2', 1.07, 5.61)
('Table_3', 7.78, 2.77)
('Table_4', 6.06, 8.7)
('Table_5', 8.91, 6.78)
('Table_6', 6.46, 6.52)
('Table_7', 1.5, 1.43)
('Table_8', 11.89, 2.27)
('Table_9', 11.63, 3.97)
